benefactorClass,benefactorName,benefactorType,benefactorAddress,benefactorPostcode,benefactorCompanyNumber,recipientClass,recipientName,ecReference,type,value,referenceNumber,rate,status,amountRepaid,amountConverted,amountOutstanding,startDate,endDate,repaidDate,ecLastNotifiedDate,recordedBy
Organisation,The Co-operative Bank Plc,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036667,Loan,200000000,,Co-op Base + 2%,Ended,200000000,,,2007-10-15,2008-03-14,2008-03-14,2011-04-11,
Organisation,Bank of Scotland,Company,36 St Andrew's Square,EH2 2YB,SC327000,Party,Labour Party,Political Party,AL0036673,Credit Facility,250000,,13.90%,Ended,250000,,,2007-10-01,2008-08-01,2008-08-01,2011-04-11,Reigate CLP
Individual,James Swindlehurst,Individual,,,,Party,Labour Party,Political Party,AL0036675,Loan,250000,,Nil,Ended,250000,,,2007-10-24,2009-03-31,2009-03-31,2011-04-11,Slough CLP
Individual,Roger Truelove,Individual,,,,Party,Labour Party,Political Party,AL0036676,Loan,115100,,Nil,Ended,115100,,,2007-11-30,2009-06-30,2009-06-30,2011-04-11,Sittingbourne and Sheppey CLP
Individual,Anne Campbell,Individual,,,,Party,Labour Party,Political Party,AL0036680,Loan,200000,,Nil,Ended,,200000,,2007-09-07,2009-10-01,2009-10-01,2007-09-30,Cambridge CLP
Organisation,Kingprint Ltd,Company,24 Steeley Lane,PR6 0RD,4701845,Party,Liberal Democrats,Political Party,AL0036702,Loan,200000,,Nil,Ended,200000,,,2007-03-26,2007-09-30,2007-09-30,2011-04-11,North Bristol
Individual,Judith Lubbock,Individual,,,,Party,Liberal Democrats,Political Party,AL0036703,Loan,75000,,Nil,Ended,75000,,,2007-03-19,2007-11-01,2007-11-01,2011-04-11,Norwich South
Individual,Nigel Lubbock,Individual,,,,Party,Liberal Democrats,Political Party,AL0036704,Loan,75000,,Nil,Ended,75000,,,2007-03-19,2007-11-01,2007-11-01,2011-04-11,Norwich South
Individual,Melvin Caton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036713,Loan,134900,,Nil,Ended,134900,,,2007-03-05,2007-04-10,2007-04-10,2011-04-11,Saffron Walden
Organisation,Royal Bank of Scotland,Company,34 St Andrews Square,EH2 2XB,SC090312,Party,Liberal Democrats,Political Party,AL0036724,Credit Facility,700000,,12.50%,Ended,700000,,,2007-07-04,2007-08-03,2007-08-03,2011-04-11,
Individual,Alan Reid,Individual,,,,Party,Liberal Democrats,Political Party,AL0036726,Loan,202500,,Nil,Ended,202500,,,2007-04-27,2008-01-03,2008-01-03,2007-06-30,Argyll & Bute
Individual,John D Lewis,Individual,,,,Party,Liberal Democrats,Political Party,AL0036727,Loan,250767,,Nil,Ended,250767,,,2007-09-15,2007-10-22,2007-10-22,2011-04-11,Borough of Brent
Organisation,Bank of Scotland (HBOS),Company,The Mound,EH1 1YZ,SC218813,Party,Liberal Democrats,Political Party,AL0036729,Credit Facility,250000,,Base rate + 3%,Outstanding,,,250000,2007-03-26,2008-01-31,,2011-04-11,Edinburgh South
Individual,Elizabeth B Tucker,Individual,,,,Party,Liberal Democrats,Political Party,AL0036732,Loan,300000,,Nil,Ended,300000,,,2007-11-18,2008-05-17,2008-05-17,2011-04-11,West Worcestershire
Organisation,Clydesdale Bank PLC,Company,30 St Vincent Place,G1 2HL,SC001111,Party,Liberal Democrats,Political Party,AL0036736,Credit Facility,2000000,,Base + 4%,Ended,2000000,,,2007-11-16,2009-01-31,2009-01-30,2011-04-11,
Organisation,Clydesdale Bank PLC,Company,30 St Vincent Place,G1 2HL,SC001111,Party,Liberal Democrats,Political Party,AL0036738,Credit Facility,1500000,,Base + 4%,Ended,1500000,,,2007-02-08,2009-01-31,2009-01-31,2011-04-11,Aberdeenshire East
Individual,Katherine Smyth,Individual,,,,Party,Liberal Democrats,Political Party,AL0036743,Loan,122800,,Nil,Ended,122800,,,2007-09-03,2009-07-01,2009-07-01,2011-04-11,South West Surrey
Individual,Chris Mansell,Individual,,,,Party,Liberal Democrats,Political Party,AL0036744,Loan,150000,,Nil,Ended,150000,,,2007-03-31,2009-07-01,2009-07-01,2011-04-11,South West Surrey
Individual,Marguerita G Morton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036748,Loan,150000,,Nil,Ended,50000,100000,,2007-03-26,2009-10-10,2009-10-10,2011-04-11,Tunbridge Wells
Organisation,Halifax PLC,Company,62/64 Victoria Street,SW1E 6SP,2367076,Organisation,Harriet Harman,Regulated Donee,AL0037057,Loan,4000000,,7.25,Outstanding,,,4000000,2007-02-06,2028-10-05,,2007-12-18,
Individual,Jack Dromey,Individual,,,,Organisation,Harriet Harman,Regulated Donee,AS0037058,Authorised Participant Security,4000000,,Not specified,Outstanding,,,4000000,2007-02-06,,,2007-12-18,
Individual,Sarah Harman,Individual,,,,Organisation,Harriet Harman,Regulated Donee,AL0037059,Loan,1800000,,0,Ended,1800000,,,2007-06-01,,2007-06-05,2007-12-18,
Individual,William Nagel,Individual,,,,Organisation,Peter Hain,Regulated Donee,AL0037060,Loan,2500000,,0,Ended,2500000,,,2007-10-10,,2008-01-19,2008-10-10,
Organisation,Wimbledon Labour Hall Co-operative Society Limited,Friendly Society,The William Morris Meeting Rooms,SW19 1SD,,Party,Labour Party,Political Party,AL0042337,Loan,500000,,Nil,Ended,500000,,,2007-02-01,2011-04-05,2011-04-05,2011-07-28,Wimbledon CLP
Individual,Michael R Harvey,Individual,,,,Party,Conservative Party,Political Party,AL0036355,Loan,162500,,nil,Ended,162500,,,2008-05-28,2008-12-31,2008-10-24,2008-06-30,Vale of Glamorgan
Organisation,Royal Bank of Scotland,Company,The Square,TD5 7HG,SC090312,Party,Conservative Party,Political Party,AL0036356,Credit Facility,500000,,Variable: Base rate +3%,Outstanding,,,500000,2008-04-01,,,2008-06-30,"Berwickshire, Roxburgh & Selkirk"
Organisation,HSBC Bank,Company,17 High street,LE13 0TY,14259,Party,Conservative Party,Political Party,AL0036357,Credit Facility,1000000,,Variable: Base rate +2.5%,Ended,1000000,,,2008-08-19,2009-08-31,2009-08-30,2008-09-30,Rutland & Melton
Individual,Joseph A Furness,Individual,,,,Party,Conservative Party,Political Party,AL0036358,Loan,300000,,Fixed,Ended,300000,,,2008-07-31,2015-01-01,2014-01-31,2008-09-30,North Tyneside Federation
Individual,Steve Uncles,Individual,,,,Party,English Democrats,Political Party,AL0036379,Loan,924100,,Nil,Outstanding,,,924100,2008-05-01,,,2008-06-30,
Individual,Robin Tilbrook,Individual,,,,Party,English Democrats,Political Party,AL0036380,Loan,2735300,,Nil,Outstanding,,,2735300,2008-05-01,,,2008-06-30,
Individual,Teresa Lewis,Individual,,,,Party,Labour Party,Political Party,AL0036436,Loan,1000000,,Nil,Ended,1000000,,,2008-02-28,,2011-09-30,2008-03-31,Plymouth Moor View CLP
Individual,Margaret McDonagh,Individual,,,,Party,Labour Party,Political Party,AL0036437,Loan,3000000,,5.50%,Ended,3000000,,,2008-03-02,2024-03-02,2009-12-31,2008-03-31,Mitcham and Morden CLP
Individual,Ernest Webb,Individual,,,,Party,Labour Party,Political Party,AL0036438,Loan,150000,,Nil,Ended,150000,,,2008-06-01,,2011-01-13,2008-06-30,Chelmsford CLP
Individual,Margaret McDonagh,Individual,,,,Party,Labour Party,Political Party,AL0036439,Loan,3000000,,5.50%,Ended,3000000,,,2008-06-17,2024-06-17,2009-12-31,2008-06-30,Mitcham and Morden CLP
Organisation,Wimbledon Labour hall Co-operative Society Limited,Company,267 The Broadway,SW19 1SD,IP09167R,Party,Labour Party,Political Party,AL0036440,Loan,2500000,,5.50%,Ended,2500000,,,2008-04-24,,2009-12-31,2008-06-30,Mitcham and Morden CLP
Organisation,Unity Trust Bank PLC,Company,Nine Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036441,Loan,8000000,,Bank base rate plus 3%,Outstanding,,,8000000,2008-08-14,2028-08-13,,2008-09-30,Bishop Auckland CLP
Organisation,Teescraft Engineering Limited,Company,Unit 2,DL14 6XB,1554968,Party,Labour Party,Political Party,AL0036442,Loan,2000000,,NIL,Outstanding,,,2000000,2008-07-31,,,2008-09-30,Bishop Auckland CLP
Organisation,Wimbledon Labour Hall Co-operative Society Limited,Friendly Society,The William Morris Meeting Rooms,SW19 1SD,,Party,Labour Party,Political Party,AL0036443,Loan,2500000,,5.50%,Ended,2500000,,,2008-08-22,2011-08-22,2009-12-31,2008-09-30,Mitcham and Morden CLP
Individual,William Wraight,Individual,,,,Party,Labour Party,Political Party,AL0036444,Loan,500000,,NIL,Ended,500000,,,2008-07-01,,2011-10-24,2008-09-30,Plymouth Moor View CLP
Individual,Hugh Andrew,Individual,,,,Party,Liberal Democrats,Political Party,AL0036511,Loan,200000,,Nil,Ended,200000,,,2008-02-04,2011-01-01,2011-03-20,2008-03-31,Edinburgh South
Individual,Christopher Doyle,Individual,,,,Party,Liberal Democrats,Political Party,AL0036512,Loan,200000,,Nil,Ended,200000,,,2008-09-18,,2009-12-31,2008-09-30,Newbury
Individual,Rachel Madden,Individual,,,,Party,Liberal Democrats,Political Party,AL0036513,Loan,100000,,Nil,Outstanding,,,100000,2008-12-04,2009-12-31,,2008-12-31,Ashfield & Mansfield
Individual,Christopher Huhne,Individual,,,,Party,Liberal Democrats,Political Party,AL0036514,Loan,100000,,Nil,Ended,,100000,,2008-12-12,2013-12-31,2011-11-28,2008-12-31,Eastleigh
Organisation,Royal Bank of Scotland,Company,12 Golden Square,AB10 1DU,SC090312,Party,Scottish National Party (SNP),Political Party,AL0036554,Loan,1316000,,2.5% above base,Outstanding,,,1316000,2008-04-24,2018-12-31,,2008-06-30,Moray Constituency
Organisation,Keir & Cawder Estates Ltd,Company,Craigarnhall,FK9 4NG,SC12241,Party,Scottish Voice,Political Party,AL0036559,Loan,5000000,,Variable,Outstanding,,,5000000,2008-05-01,,,2008-06-30,
Individual,Karl McCartney,Individual,,,,Party,Conservative Party,Political Party,AL0036586,Loan,500000,,Nil,Ended,500000,,,2008-06-09,2008-09-22,2008-09-22,2008-06-30,Lincoln
Individual,Francis Moore,Individual,,,,Party,Conservative Party,Political Party,AL0036591,Loan,500000,,Nil,Ended,500000,,,2008-10-01,2009-05-29,2009-05-29,2011-04-11,South West Wiltshire
Individual,Granville Paul Heeley,Individual,,,,Party,Conservative Party,Political Party,AL0036592,Loan,3200000,,Variable: Base,Ended,3200000,,,2008-07-01,2009-11-20,2009-11-20,2008-09-30,South East Cornwall
Individual,Herbert Victor Aveling,Individual,,,,Party,Conservative Party,Political Party,AL0036630,Loan,411250,,Variable,Ended,411250,,,2008-05-20,2008-12-18,2008-12-18,2008-06-30,North East Cambridgeshire
Individual,Alan Chedzoy,Individual,,,,Party,Labour Party,Political Party,AL0036681,Loan,1000000,,Nil,Ended,1000000,,,2008-05-20,2009-11-20,2009-11-20,2008-06-30,South Dorset CLP
Individual,Ayham Zekra,Individual,,,,Party,Left List [De-registered 20/04/10],Political Party,AL0036683,Loan,1000000,,No,Ended,1000000,,,2008-07-18,2009-11-20,2009-11-20,2008-09-30,
Individual,John Parker,Individual,,,,Party,Liberal Democrats,Political Party,AL0036730,Loan,173900,,Nil,Ended,173900,,,2008-03-28,2008-05-19,2008-05-19,2008-03-31,Romsey & Southampton North
Individual,John D Lewis,Individual,,,,Party,Liberal Democrats,Political Party,AL0036733,Loan,378375,,nil,Ended,378375,,,2008-06-04,2008-09-28,2008-09-28,2008-06-30,Borough of Brent
Individual,Andy Jeffery,Individual,,,,Party,Liberal Democrats,Political Party,AL0036734,Loan,198151,,NIl,Ended,198151,,,2008-10-01,2008-11-30,2008-11-30,2008-12-31,Guildford
Individual,Anne Winstanley,Individual,,,,Party,Liberal Democrats,Political Party,AL0036735,Loan,100000,,nil,Ended,100000,,,2008-05-30,2008-12-31,2008-12-31,2008-06-30,Eastleigh
Organisation,HSBC Bank Plc,Company,Cardiff Bay Commercial Centre,CF10 5NA,14259,Party,Plaid Cymru - The Party of Wales,Political Party,AL0036752,Loan,5625000,,HSBC base + 2.1%,Ended,5625000,,,2008-02-21,2008-07-28,2008-07-28,2008-03-31,
Individual,James Carver,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036775,Loan,175000,,Nil,Ended,175000,,,2008-03-29,2008-04-29,2008-04-29,2008-03-31,Eastern Counties
Individual,Stuart Agnew,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036778,Loan,109900,,Nil,Ended,,109900,,2008-11-20,2009-03-29,2009-03-29,2008-12-31,Eastern Counties
Individual,Stuart Agnew,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036780,Loan,80000,,Nil,Ended,,80000,,2008-10-10,2009-07-31,2009-07-31,2008-12-31,
Individual,Hugh Henry,Individual,,,,Organisation,Cathy Jamieson,Regulated Donee,AL0037055,Loan,410107,,Not specified,Ended,410107,,,2008-08-15,,2008-09-15,2008-09-26,
Individual,James Corbin Penberthy,Individual,,,,Organisation,The Difference Magazine,Regulated Donee,AL0037063,Loan,320000,,0,Outstanding,,,320000,2008-11-28,,,2008-04-07,
Individual,James Corbin Penberthy,Individual,,,,Organisation,The Difference Magazine,Regulated Donee,AL0037064,Loan,450000,,0,Outstanding,,,450000,2008-03-26,,,2008-04-07,
Organisation,Arbuthnot Latham and Co Ltd,Company,20 Ropemaker Street,EC2Y 9AR,819519,Party,Conservative Party,Political Party,AL0037146,Credit Facility,20000000,,Base + 2.5%,Ended,20000000,,,2008-03-07,,2011-05-11,2011-04-28,
Organisation,Murodigital,Unincorporated Association,Presentation House,BS24 9AX,,Party,Conservative Party,Political Party,AL0042359,Loan,3070161,,5.5%,Ended,3070161,,,2008-08-28,2013-08-28,2014-02-28,2011-07-28,Taunton Deane
Individual,William Seymour Philip Richards,Individual,,,,Party,"Christian Party ""Proclaiming Christ's Lordship"" [De-registered 26/07/12]",Political Party,AL0036291,Loan,8500000,,Nil,Outstanding,,,8500000,2009-07-06,,,2009-09-30,
Individual,William Seymour Philip Richards,Individual,,,,Party,"Christian Party ""Proclaiming Christ's Lordship"" [De-registered 26/07/12]",Political Party,AL0036292,Loan,6500000,,Nil,Outstanding,,,6500000,2009-09-28,,,2009-09-30,
Organisation,C.Hoare & Co,Company,37 Fleet Street,EC4P 4DQ,240822,Party,Conservative Party,Political Party,AL0036309,Credit Facility,2000000,,2.5% above base,Ended,2000000,,,2009-08-11,,2011-01-14,2009-09-30,
Organisation,C.Hoare & Co,Company,37 Fleet Street,EC4P 4DQ,240822,Party,Conservative Party,Political Party,AL0036310,Credit Facility,13000000,,2.5% over base,Ended,13000000,,,2009-01-04,,2011-01-14,2009-03-31,
Organisation,Woodlands Schools Ltd,Company,,,1389757,Party,Conservative Party,Political Party,AL0036359,Loan,348461,,Nil,Ended,348461,,,2009-06-01,,2013-04-17,2009-06-30,Great Yarmouth
Individual,William Wilson,Individual,,,,Party,Conservative Party,Political Party,AL0036360,Loan,2600000,,5%,Ended,2600000,,,2009-06-19,,2013-07-02,2009-06-30,High Peak
Organisation,Kinvena Homes Ltd,Company,The Elms,LN1 2EH,1833364,Party,Conservative Party,Political Party,AL0036361,Loan,300000,,Nil,Outstanding,,,300000,2009-04-03,2011-04-30,,2009-06-30,Gainsborough
Organisation,HSBC Bank,Company,17 High St,LE13 0TY,14259,Party,Conservative Party,Political Party,AL0036362,Credit Facility,1000000,,Fixed 4%,Ended,1000000,,,2009-08-01,2010-07-31,2010-07-30,2009-09-30,Rutland & Melton
Organisation,Woodlands Schools Ltd,Company,428 Rayleigh Road,CM13 1SD,1389757,Party,Conservative Party,Political Party,AL0036363,Loan,545697,,Nil,Ended,545697,,,2009-10-01,,2013-04-17,2009-12-31,Great Yarmouth
Individual,Leslie Rosin,Individual,,,,Party,Conservative Party,Political Party,AL0036364,Loan,500000,,Nil,Ended,500000,,,2009-09-30,,2012-05-31,2009-09-30,East Renfrewshire
Organisation,Scottish Unionist Association Trust,Unincorporated Association,C/O 24c Forrester Park Avenue,EH10 9AW,,Party,Conservative Party,Political Party,AL0036365,Loan,500000,,Nil,Outstanding,,,500000,2009-07-28,,,2009-09-30,East Renfrewshire
Organisation,The Ford Memorial Trust,Unincorporated Association,C/O Geoff Gollop and Co Ltd,B51 5QT,,Party,Conservative Party,Political Party,AL0036366,Loan,250000,,Nil,Outstanding,,,250000,2009-07-13,2011-01-31,,2009-09-30,Thornbury and Yate
Individual,Ian Leist,Individual,,,,Party,Conservative Party,Political Party,AL0036367,Loan,500000,,Fixed 7%,Outstanding,,,500000,2009-07-15,2010-07-31,,2009-09-30,Warrington South
Organisation,Arbuthnot Latham & Co Ltd,Company,Arbuthnot House,EC2Y 9AR,819519,Party,Conservative Party,Political Party,AL0036368,Credit Facility,300000000,,Base + 3%,Outstanding,,,300000000,2009-11-23,,,2009-12-31,
Organisation,Woodlands Schools Ltd,Company,428 Rayleigh Road,CM13 1SD,1389757,Party,Conservative Party,Political Party,AL0036369,Loan,166667,,Nil,Ended,166667,,,2009-10-27,,2013-04-17,2009-12-31,Great Yarmouth
Organisation,Woodlands Schools Ltd,Company,428 Rayleigh Road,CM13 1SD,1389757,Party,Conservative Party,Political Party,AL0036370,Loan,166667,,Nil,Ended,166667,,,2009-11-27,,2013-04-17,2009-12-31,Great Yarmouth
Organisation,Woodlands Schools Ltd,Company,428 Rayleigh Road,CM13 1SD,1389757,Party,Conservative Party,Political Party,AL0036371,Loan,166667,,Nil,Ended,166667,,,2009-12-23,,2013-04-17,2009-12-31,Great Yarmouth
Individual,Kenneth Johnson,Individual,,,,Party,Conservative Party,Political Party,AL0036372,Loan,156000,,Nil,Ended,156000,,,2009-11-01,,2012-02-06,2009-12-31,Taunton Deane
Individual,Helena Young,Individual,,,,Party,Conservative Party,Political Party,AL0036373,Loan,150000,,Nil,Outstanding,,,150000,2009-11-01,,,2009-12-31,Taunton Deane
Individual,Peter Sparling,Individual,,,,Party,Conservative Party,Political Party,AL0036374,Loan,500000,,Nil,Ended,,500000,,2009-12-08,,2013-10-01,2009-12-31,Elmet and Rothwell
Individual,Martin Parry,Individual,,,,Party,Conservative Party,Political Party,AL0036375,Loan,112000,,Nil,Ended,112000,,,2009-11-06,,2012-05-17,2009-12-31,Delyn
Individual,Martin Parry,Individual,,,,Party,Conservative Party,Political Party,AL0036376,Loan,92780,,Nil,Ended,92780,,,2009-10-02,,2012-05-17,2009-12-31,Delyn
Individual,Paul Judge,Individual,,,,Party,Jury Team [De-registered 09/05/11],Political Party,AL0036383,Credit Facility,2000000,,Nil,Outstanding,,,2000000,2009-03-13,,,2009-03-31,
Individual,Paul Judge,Individual,,,,Party,Jury Team [De-registered 09/05/11],Political Party,AL0036384,Loan,19195571,,Nil,Outstanding,,,19195571,2009-04-03,,,2009-06-30,
Individual,Paul Judge,Individual,,,,Party,Jury Team [De-registered 09/05/11],Political Party,AL0036385,Loan,10850000,,Nil,Outstanding,,,10850000,2009-07-06,,,2009-09-30,
Individual,Paul Judge,Individual,,,,Party,Jury Team [De-registered 09/05/11],Political Party,AL0036386,Loan,5710000,,Nil,Outstanding,,,5710000,2009-10-02,,,2009-12-31,
Individual,Allen Brett,Individual,,,,Party,Labour Party,Political Party,AL0036445,Loan,139300,,Nil,Outstanding,,,139300,2009-03-31,,,2009-03-31,Rochdale CLP
Organisation,The Lionel Cooke Memorial Fund Limited,Company,39 Victoria Street,SW1H 0HA,560074,Party,Labour Party,Political Party,AS0036446,Authorised Participant Security,60000000,,Nil,Ended,60000000,,,2009-06-30,,2013-04-01,2009-06-30,
Organisation,The Co-operative Bank plc,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036447,Credit Facility,200000000,,Base + 3%,Ended,200000000,,,2009-09-28,2010-10-31,2009-12-23,2009-09-30,
Individual,Diane Whitford,Individual,,,,Party,Labour Party,Political Party,AL0036448,Loan,500000,,Nil,Outstanding,125000,,375000,2009-07-28,2015-12-31,,2009-09-30,Stroud CLP
Individual,Deion Smith,Individual,,,,Party,Labour Party,Political Party,AL0036449,Loan,215000,,Nil,Outstanding,,,215000,2009-09-30,,,2009-09-30,Clwyd West CLP
Organisation,The Co-operative Bank plc,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036450,Loan,400000,,Base +4%,Ended,400000,,,2009-07-03,2012-07-31,2012-07-31,2009-09-30,Islington South and Finsbury CLP
Organisation,Wealdstone Labour Hall Limited,Company,c/o Sproull & co,HA1 1EJ,990937,Party,Labour Party,Political Party,AL0036451,Loan,250000,,Nil,Outstanding,78000,,172000,2009-10-22,,,2009-12-31,Harrow West CLP
Individual,John Rainbow,Individual,,,,Party,Liberal Democrats,Political Party,AL0036456,Loan,1400000,,Nil,Outstanding,315000,1000000,85000,2009-12-24,2011-12-31,,2009-12-31,St Austell & Newquay
Individual,Ian Gale,Individual,,,,Party,Liberal Democrats,Political Party,AL0036515,Loan,100000,,Nil,Ended,100000,,,2009-02-16,,2010-12-31,2009-03-31,Chelmsford & Maldon
Individual,Anne Winstanley,Individual,,,,Party,Liberal Democrats,Political Party,AL0036516,Loan,250000,,Nil,Outstanding,150000,,100000,2009-02-09,2014-02-28,,2009-03-31,Eastleigh
Organisation,Clydesdale Bank PLC,Company,30 St Vincent Place,G1 2HL,SC001111,Party,Liberal Democrats,Political Party,AL0036517,Loan,2400000,,Base +3.5%,Outstanding,,,2400000,2009-02-26,2014-02-28,,2009-03-31,Aberdeenshire East
Organisation,Clydesdale Bank PLC,Company,30 St Vincent Place,G1 2HL,SC001111,Party,Liberal Democrats,Political Party,AL0036518,Credit Facility,600000,,Base + 4%,Ended,600000,,,2009-01-31,,2010-12-31,2009-03-31,Aberdeenshire East
Individual,Andrew Jeffery,Individual,,,,Party,Liberal Democrats,Political Party,AL0036519,Loan,163013,,Nil,Outstanding,,,163013,2009-06-25,,,2009-06-30,Guildford
Individual,Richard Greaves,Individual,,,,Party,Liberal Democrats,Political Party,AL0036520,Loan,200000,,Nil,Ended,200000,,,2009-05-20,,2010-07-10,2009-06-30,Meon Valley
Individual,Frank H Fitzpatrick,Individual,,,,Party,Liberal Democrats,Political Party,AL0036521,Loan,350000,,Nil,Outstanding,,,350000,2009-06-11,,,2009-06-30,Twickenham & Richmond
Individual,Douglas Leedham,Individual,,,,Party,Liberal Democrats,Political Party,AL0036522,Loan,200000,,Nil,Ended,200000,,,2009-06-24,2011-06-30,2011-06-30,2009-06-30,St Albans
Individual,Sarah Wakefield,Individual,,,,Party,Liberal Democrats,Political Party,AL0036523,Loan,70000,,Nil,Ended,70000,,,2009-06-16,,2010-12-31,2009-06-30,Taunton Deane
Individual,Stuart Beadle,Individual,,,,Party,Liberal Democrats,Political Party,AL0036524,Loan,100000,,Nil,Outstanding,20000,,80000,2009-04-20,,,2009-06-30,North Norfolk & Great Yarmouth
Individual,John Parker,Individual,,,,Party,Liberal Democrats,Political Party,AL0036525,Loan,350000,,Nil,Ended,350000,,,2009-07-04,2011-12-31,2011-11-11,2009-09-30,Romsey & Southampton North
Individual,John Parker,Individual,,,,Party,Liberal Democrats,Political Party,AL0036526,Loan,50000,,Nil,Ended,50000,,,2009-09-10,2011-12-31,2011-11-11,2009-09-30,Romsey & Southampton North
Individual,Alisdair Gordon,Individual,,,,Party,Liberal Democrats,Political Party,AL0036527,Loan,450000,,Nil,Outstanding,,,450000,2009-06-16,,,2009-06-30,North Glasgow
Individual,Dave McCobb,Individual,,,,Party,Liberal Democrats,Political Party,AL0036528,Loan,100000,,Nil,Ended,100000,,,2009-11-13,2010-02-01,2010-06-30,2009-12-31,Hull North
Individual,Julia Goldsworthy,Individual,,,,Party,Liberal Democrats,Political Party,AL0036529,Loan,328300,,Nil,Ended,,328300,,2009-10-01,2011-06-30,2011-08-06,2009-12-31,"Camborne, Redruth & Hayle"
Individual,Deborah Hinton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036530,Loan,300000,,Nil,Ended,300000,,,2009-12-21,2011-12-31,2011-12-31,2009-12-31,St Austell & Newquay
Individual,Sarita Robinson,Individual,,,,Party,Liberal Democrats,Political Party,AL0036531,Loan,100000,,Nil,Ended,100000,,,2009-09-08,2010-06-30,2010-06-30,2009-09-30,Hull North
Individual,Veronica Beadle,Individual,,,,Party,Liberal Democrats,Political Party,AL0036532,Loan,100000,,Nil,Outstanding,20000,,80000,2009-04-20,,,2009-06-30,North Norfolk & Great Yarmouth
Individual,J. M Cockburn,Individual,,,,Party,Pensioners Party [De-registered 05/11/13],Political Party,AL0036533,Loan,843600,,Nil,Outstanding,,,843600,2009-06-15,,,2009-06-30,
Individual,William Wilson,Individual,,,,Party,Scottish National Party (SNP),Political Party,AL0036555,Loan,5000000,,Nil,Ended,5000000,,,2009-10-19,,2011-11-08,2009-12-31,
Individual,Alison Copley,Individual,,,,Party,Conservative Party,Political Party,AL0036569,Loan,1000000,,7%,Ended,1000000,,,2009-02-01,2010-07-10,2010-07-10,2009-03-31,Warrington South
Individual,Noel Copley,Individual,,,,Party,Conservative Party,Political Party,AL0036570,Loan,1000000,,7%,Ended,1000000,,,2009-02-01,2010-07-10,2010-07-10,2009-03-31,Warrington South
Individual,Ross MacDonald,Individual,,,,Party,Conservative Party,Political Party,AL0036571,Loan,500000,,7%,Ended,500000,,,2009-02-01,2010-07-10,2010-07-10,2009-03-31,Warrington South
Individual,Mark Sisson,Individual,,,,Party,Conservative Party,Political Party,AL0036572,Loan,400000,,5%,Ended,400000,,,2009-06-19,2010-07-17,2010-07-17,2009-06-30,High Peak
Individual,Anthony Ashton,Individual,,,,Party,Conservative Party,Political Party,AL0036573,Loan,200000,,Fixed 5% less tax,Ended,200000,,,2009-06-16,2010-07-15,2010-07-15,2009-06-30,High Peak
Individual,Philip James Milton,Individual,,,,Party,Conservative Party,Political Party,AL0036577,Loan,600000,,Nil,Ended,600000,,,2009-11-11,2010-09-23,2010-09-23,2009-12-31,North Devon
Individual,Nick Taylor,Individual,,,,Party,Conservative Party,Political Party,AL0036581,Loan,400000,,Nil,Ended,400000,,,2009-06-18,2010-05-18,2010-05-18,2009-06-30,Colchester
Individual,Anthony K Clarke,Individual,,,,Party,Conservative Party,Political Party,AL0036582,Loan,1000000,,Nil,Ended,1000000,,,2009-11-24,2010-04-16,2010-04-16,2009-12-31,Bath
Individual,John J Stainton-Somers,Individual,,,,Party,Conservative Party,Political Party,AL0036590,Loan,294500,,Nil,Ended,294500,,,2009-06-10,2009-10-13,2009-10-13,2009-06-30,South Derbyshire
Individual,Hubert Cousins,Individual,,,,Party,Conservative Party,Political Party,AL0036594,Loan,500000,,Nil,Ended,500000,,,2009-09-10,2010-01-29,2010-01-29,2009-09-30,Mole Valley
Individual,Colin Crispin,Individual,,,,Party,Conservative Party,Political Party,AL0036595,Loan,500000,,Nil,Ended,500000,,,2009-09-10,2010-01-28,2010-01-28,2009-09-30,Mole Valley
Individual,A B Richardson,Individual,,,,Party,Conservative Party,Political Party,AL0036634,Loan,200000,,Nil,Ended,200000,,,2009-06-29,2009-09-04,2009-09-04,2009-06-30,Penrith & The Border
Individual,Isa Henderson,Individual,,,,Party,Conservative Party,Political Party,AL0036635,Loan,110000,,Nil,Ended,110000,,,2009-06-01,2009-08-11,2009-08-11,2009-06-30,Penrith & The Border
Individual,Richard Cornelius,Individual,,,,Party,Conservative Party,Political Party,AL0036636,Loan,301400,,Nil,Ended,301400,,,2009-09-03,2009-12-29,2009-12-29,2009-09-30,Chipping Barnet
Individual,Graham Old,Individual,,,,Party,Conservative Party,Political Party,AL0036637,Loan,300000,,Nil,Ended,300000,,,2009-09-23,2009-10-27,2009-10-27,2009-09-30,Finchley & Golders Green
Individual,Mike Bird,Individual,,,,Party,Labour Party,Political Party,AL0036646,Loan,160600,,Nil,Ended,,160600,,2009-09-30,2010-03-31,2010-03-31,2009-09-30,Clwyd West CLP
